restaurant,restaurant_address,food,food_origin
Applebee's,2163 Sarah Inlet Suite 927,Bao,saint-kitts-and-nevis
Starbucks,0324 Claudia Tunnel Apt. 292,Omelette,cabo-verde
Domino's,358 Dodson Passage,Fufu,hong-kong
IHOP,471 Holloway Road,Meatballs,bermuda
Taco Bell,9466 Hoffman Divide Suite 684,Banoffee Pie,uruguay
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Samosa,united-states
Pizza Hut,0324 Claudia Tunnel Apt. 292,Hummus,curacao
Dunkin',98184 Knight Underpass,Pho,portugal
IHOP,471 Holloway Road,Spring Rolls,venezuela
Sonic Drive-In,08186 Briggs Path Apt. 893,Banoffee Pie,malawi
McDonald's,0500 Riley Wells,Fish and Chips,eswatini
Five Guys,32944 Carter River Apt. 361,Hotdog,fiji
Starbucks,19362 Payne Causeway Suite 534,Arepas,kazakhstan
Cheesecake Factory,30538 Carrie Pike Apt. 628,Crepes,zambia
Texas Roadhouse,685 Tom Divide Apt. 622,Meatballs,panama
Starbucks,44769 Alexander Meadow Apt. 850,Samosa,zimbabwe
Panera Bread,52323 Mercer Skyway Apt. 291,Meatballs,pakistan
KFC,477 Smith Meadow Apt. 029,Clam Chowder,burundi
Pizza Hut,6469 Crystal Crossroad,Lasagna,bahamas-the
Outback Steakhouse,3716 Weiss Mill Apt. 724,Tempura,seychelles
Outback Steakhouse,26939 Mathews Throughway Suite 744,Quiche,aruba
McDonald's,457 Bobby Lights Suite 545,Croissant,vietnam
Sonic Drive-In,5073 Scott Groves Suite 909,Steak,guinea-bissau
Five Guys,007 Tiffany Haven Suite 378,Croissant,vietnam
Subway,85583 Courtney Village Apt. 623,Pierogi,hong-kong
Cracker Barrel,150 Tina Shoals Apt. 638,Lamb Roast,burkina-faso
Outback Steakhouse,26939 Mathews Throughway Suite 744,Fish and Chips,new-zealand
Chick-fil-A,5113 Webb Springs,Arepas,vanuatu
Dunkin',8840 Grant Valley Suite 846,Sticky Rice,botswana
IHOP,4859 Isaac Squares,Omelette,curacao
Tim Hortons,20131 Bradley Ways,Vindaloo,bhutan
Chick-fil-A,87065 Gallegos Landing Apt. 450,Quiche,india
KFC,477 Smith Meadow Apt. 029,Quiche,india
Tim Hortons,8877 Singleton Greens,Pozole,mauritania
Little Caesars,2845 Miller Harbors Suite 164,Salad,brazil
Chick-fil-A,362 Caitlin Corners Apt. 661,Curry,burkina-faso
Chipotle,254 Natalie Harbor,Goulash,spain
Arby's,0500 Riley Wells,Spring Rolls,cyprus
McDonald's,19362 Payne Causeway Suite 534,Haggis,cote-divoire
Dunkin',8840 Grant Valley Suite 846,Arepas,saint-kitts-and-nevis
Applebee's,2163 Sarah Inlet Suite 927,Gnocchi,new-caledonia
Arby's,006 Scott Mountain Suite 766,Satay,bolivia
McDonald's,006 Scott Mountain Suite 766,Cornbread,guinea
McDonald's,5795 Danielle Ways,Risotto,malaysia
Chick-fil-A,87065 Gallegos Landing Apt. 450,Shakshuka,nicaragua
Ruby Tuesday,9339 Autumn Burg Suite 220,Khachapuri,yemen
Outback Steakhouse,3716 Weiss Mill Apt. 724,Macarons,equatorial-guinea
Subway,567 Dean Ways Apt. 733,Laksa,nepal
KFC,300 Lloyd Causeway,Lamb Roast,turkey-turkiye
Tim Hortons,150 Tina Shoals Apt. 638,Roti,papua-new-guinea
Starbucks,000 Carney Circle,Shepherd's Pie,isle-of-man
Arby's,66337 Julie Cape Apt. 093,Pad Thai,somalia
Outback Steakhouse,34229 Earl Squares Apt. 712,Hotdog,puerto-rico
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Borscht,mali
Arby's,590 Bernard Creek Apt. 744,Chow Mein,congo-democratic-republic-of-the
Popeyes,213 Brandon Extensions Suite 945,Croissant,malta
Cheesecake Factory,8265 Fischer Tunnel,Salad,mozambique
Popeyes,161 Berry Falls Suite 287,Curry,burkina-faso
IHOP,042 Donald Circles Apt. 738,Laksa,rwanda
Wendy's,0976 Conway Route Apt. 897,Risotto,equatorial-guinea
Dunkin',597 Matthews Dam Apt. 675,Pho,comoros
Cracker Barrel,150 Tina Shoals Apt. 638,Carrot Cake,egypt
Dunkin',480 Matthew Ville Suite 854,Churros,turkmenistan
Taco Bell,293 Williams Underpass,Bento Box,mexico
Popeyes,45590 Brown Prairie,Laksa,rwanda
IHOP,916 West Mountain Apt. 223,Coleslaw,west-bank
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Lasagna,germany
Cracker Barrel,150 Tina Shoals Apt. 638,Croissant,bangladesh
Subway,567 Dean Ways Apt. 733,Tamales,south-sudan
Olive Garden,4876 Williams Harbor Apt. 516,Shakshuka,virgin-islands
Wendy's,898 David Squares,Tonkatsu,serbia
TGI Friday's,5333 Patrick Route,Moussaka,aruba
Little Caesars,849 Barrera Villages,Cornbread,china
Chick-fil-A,8877 Singleton Greens,Pad Thai,somalia
Domino's,039 Johnson Bypass Apt. 537,Banoffee Pie,montenegro
Tim Hortons,61988 Tony Isle,Risotto,malaysia
Popeyes,45590 Brown Prairie,Paella,curacao
Pizza Hut,161 Berry Falls Suite 287,Barbecue Ribs,west-bank
Red Lobster,9968 Estes Inlet Suite 797,Dolma,sri-lanka
Chick-fil-A,87065 Gallegos Landing Apt. 450,Tempura,cayman-islands
Chipotle,322 Medina River,Roti,papua-new-guinea
Cheesecake Factory,20611 Wheeler Pine,Croissant,malta
KFC,939 Smith Centers,Ratatouille,guam
Red Lobster,3600 Tamara Circle Apt. 910,Miso Soup,congo-democratic-republic-of-the
Panera Bread,52323 Mercer Skyway Apt. 291,Pancakes,egypt
Dunkin',5112 Campbell Mount,Gumbo,mongolia
Shake Shack,60267 Howard Street Suite 857,Banoffee Pie,uruguay
Olive Garden,42875 Green Rapid,Borscht,mali
Red Lobster,66057 Bradford Ramp,Laksa,russia
Applebee's,389 Michael Drive Suite 565,Biryani,niger
Cheesecake Factory,8265 Fischer Tunnel,Coleslaw,senegal
Wendy's,007 Tiffany Haven Suite 378,Gnocchi,sao-tome-and-principe
Sonic Drive-In,08186 Briggs Path Apt. 893,Salad,mozambique
KFC,8481 Foster Drive,Pho,belgium
KFC,477 Smith Meadow Apt. 029,Cornbread,guinea
Wendy's,3347 White Street,Bratwurst,finland
McDonald's,5795 Danielle Ways,Baklava,solomon-islands
Little Caesars,2845 Miller Harbors Suite 164,Fish and Chips,mauritania
Chili's,207 Beth Alley,Crepes,philippines
Applebee's,1254 Mason Forks Apt. 495,Banoffee Pie,portugal
Cheesecake Factory,248 Aaron Wall Suite 624,Miso Soup,china
McDonald's,82905 Douglas Plains Suite 291,Fish and Chips,saint-lucia
TGI Friday's,31396 Lauren Lodge,Lamb Roast,turks-and-caicos-islands
Taco Bell,553 Anderson Ridge Apt. 584,Pho,belgium
Little Caesars,62001 Mallory Extension,Croissant,pakistan
Five Guys,62545 Alexis Underpass Apt. 452,Poke Bowl,lithuania
Applebee's,1254 Mason Forks Apt. 495,Moussaka,lesotho
Popeyes,6409 Johnson Plaza Suite 999,Miso Soup,congo-democratic-republic-of-the
Chick-fil-A,556 Kaylee Fords,Crepes,sierra-leone
Wendy's,0976 Conway Route Apt. 897,Vindaloo,united-states
Chick-fil-A,556 Kaylee Fords,Fettuccine Alfredo,aruba
Domino's,358 Dodson Passage,Goulash,spain
Ruby Tuesday,55401 Stanley Plaza Suite 740,Cheesecake,colombia
IHOP,471 Holloway Road,Omelette,curacao
Subway,2450 Lozano Spring,Miso Soup,malta
Arby's,44067 Thompson Crescent,Roti,papua-new-guinea
Five Guys,32944 Carter River Apt. 361,Pho,comoros
TGI Friday's,18669 Jackson Mount Suite 376,Arepas,vietnam
Dunkin',81082 Albert Manors Apt. 771,Hummus,botswana
Chili's,34229 Earl Squares Apt. 712,Curry,guernsey
Wendy's,0768 Hector Trace,Crepes,dominican-republic
McDonald's,457 Bobby Lights Suite 545,Banoffee Pie,montenegro
Chili's,44769 Alexander Meadow Apt. 850,Meatballs,panama
Cheesecake Factory,8265 Fischer Tunnel,Fish and Chips,new-zealand
Cheesecake Factory,226 Patel Ridge Suite 602,Croissant,malta
Wendy's,3347 White Street,Pierogi,united-kingdom
Chili's,44769 Alexander Meadow Apt. 850,Arepas,kenya
Panera Bread,34980 Jones Inlet Apt. 469,Gumbo,faroe-islands
Buffalo Wild Wings,68341 Christy Village,Ratatouille,guam
TGI Friday's,000 Kane Expressway,Tonkatsu,panama
Taco Bell,98184 Knight Underpass,Coleslaw,senegal
Popeyes,6409 Johnson Plaza Suite 999,Pho,comoros
Ruby Tuesday,190 Courtney Brook,Borscht,paraguay
Little Caesars,2225 Gibson Islands Apt. 616,Fettuccine Alfredo,jordan
Cheesecake Factory,419 Davis Centers Suite 321,Salad,botswana
Arby's,590 Bernard Creek Apt. 744,Pierogi,curacao
Wendy's,3347 White Street,Harira,canada
Ruby Tuesday,939 Smith Centers,Miso Soup,china
Cheesecake Factory,6469 Crystal Crossroad,Paella,curacao
Taco Bell,553 Anderson Ridge Apt. 584,Udon,malta
Cracker Barrel,991 Deborah Crescent,Fried Chicken,oman
Pizza Hut,3600 Tamara Circle Apt. 910,Laksa,kazakhstan
TGI Friday's,000 Kane Expressway,Laksa,russia
Red Lobster,53104 Lambert Field Suite 907,Moussaka,lesotho
Cracker Barrel,3258 Chase Motorway Apt. 151,Bento Box,mexico
Panera Bread,08186 Briggs Path Apt. 893,Pierogi,united-kingdom
Chipotle,74829 Clarke Park,Quiche,guinea-bissau
Subway,24104 Melissa Village,Poke Bowl,italy
Buffalo Wild Wings,88469 Margaret Shore,Tonkatsu,serbia
Little Caesars,2845 Miller Harbors Suite 164,Baguette,brunei
IHOP,4859 Isaac Squares,Udon,malta
Red Lobster,53104 Lambert Field Suite 907,Arepas,saint-kitts-and-nevis
Little Caesars,73551 Lopez Loaf,Jambalaya,bermuda
Dunkin',677 Carolyn Way,Gumbo,isle-of-man
Cracker Barrel,3258 Chase Motorway Apt. 151,Poke Bowl,china
Tim Hortons,20131 Bradley Ways,Crepes,thailand
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Shakshuka,peru
Five Guys,32944 Carter River Apt. 361,Miso Soup,iran
Subway,24104 Melissa Village,Omelette,benin
Taco Bell,74304 Kevin Trail,Tabbouleh,thailand
Texas Roadhouse,82905 Douglas Plains Suite 291,Moussaka,aruba
Arby's,590 Bernard Creek Apt. 744,Coleslaw,uruguay
Five Guys,8897 Castaneda Way Apt. 829,Gnocchi,sao-tome-and-principe
TGI Friday's,5333 Patrick Route,Quiche,india
Popeyes,480 Matthew Ville Suite 854,Pierogi,south-sudan
Sonic Drive-In,0140 Smith Heights Suite 124,Pierogi,bosnia-and-herzegovina
Applebee's,5698 Joel Trail Apt. 253,Pasta,switzerland
Outback Steakhouse,792 Perez Place,Miso Soup,ireland
Burger King,8897 Castaneda Way Apt. 829,Risotto,equatorial-guinea
Cheesecake Factory,8265 Fischer Tunnel,Jambalaya,gabon
KFC,477 Smith Meadow Apt. 029,Tempura,barbados
Applebee's,389 Michael Drive Suite 565,Shepherd's Pie,isle-of-man
Tim Hortons,726 Michael Via Suite 090,Barbecue Ribs,iraq
Chipotle,322 Medina River,Ratatouille,chad
Cracker Barrel,6038 Luis Parkways,Curry,lebanon
Outback Steakhouse,3716 Weiss Mill Apt. 724,Burger,costa-rica
Subway,24104 Melissa Village,Biryani,virgin-islands
Chipotle,0976 Conway Route Apt. 897,Baguette,armenia
Tim Hortons,8877 Singleton Greens,Tamales,costa-rica
Shake Shack,757 Valerie Shores,Poke Bowl,afghanistan
Sonic Drive-In,08186 Briggs Path Apt. 893,Burger,costa-rica
Taco Bell,288 Benjamin Inlet,Curry,guernsey
Starbucks,19362 Payne Causeway Suite 534,Omelette,curacao
Panera Bread,92252 Diane Flat,Kimchi,chile
Five Guys,007 Tiffany Haven Suite 378,Fufu,macau
Ruby Tuesday,190 Courtney Brook,Satay,bahamas-the
Sonic Drive-In,96285 Morrison Dam,Pancakes,egypt
Outback Steakhouse,991 Deborah Crescent,Bratwurst,rwanda
Five Guys,32944 Carter River Apt. 361,Goulash,spain
Little Caesars,2845 Miller Harbors Suite 164,French Fries,cabo-verde
Subway,358 Dodson Passage,Gumbo,faroe-islands
Popeyes,738 Garner Bypass,Samosa,trinidad-and-tobago
Five Guys,15565 Jacobs Crest,French Fries,kazakhstan
McDonald's,19362 Payne Causeway Suite 534,Coleslaw,uruguay
Chili's,6998 Colton Course Suite 685,Tortilla,albania
Dunkin',31396 Lauren Lodge,Kebab,somalia
Arby's,85583 Courtney Village Apt. 623,Kimchi,chile
Texas Roadhouse,66456 Katherine Place,Ratatouille,chad
Chick-fil-A,87065 Gallegos Landing Apt. 450,Sushi,guinea
Taco Bell,68341 Christy Village,Laksa,russia
Buffalo Wild Wings,88469 Margaret Shore,Salad,namibia
Burger King,8897 Castaneda Way Apt. 829,Miso Soup,ireland
Taco Bell,293 Williams Underpass,Goulash,spain
Outback Steakhouse,34229 Earl Squares Apt. 712,Sticky Rice,syria
Buffalo Wild Wings,454 Darlene Port Apt. 418,Sushi,guinea
Outback Steakhouse,3716 Weiss Mill Apt. 724,Lasagna,micronesia-federated-states-of
KFC,939 Smith Centers,Tonkatsu,panama
McDonald's,30025 Cynthia Bypass Apt. 688,Borscht,cyprus
Wendy's,97711 Leblanc Plains Apt. 306,Gelato,cayman-islands
McDonald's,5795 Danielle Ways,Carrot Cake,cayman-islands
McDonald's,19362 Payne Causeway Suite 534,Quiche,guinea-bissau
Wendy's,0976 Conway Route Apt. 897,Coleslaw,uruguay
Taco Bell,98184 Knight Underpass,Pasta,solomon-islands
Domino's,8830 Wise Forest Apt. 322,Omelette,benin
Little Caesars,62001 Mallory Extension,Quiche,india
Burger King,8897 Castaneda Way Apt. 829,Arepas,saint-kitts-and-nevis
Tim Hortons,00983 Pamela Springs,Quiche,croatia
Outback Steakhouse,1673 Townsend Turnpike,Tortilla,albania
Wendy's,007 Tiffany Haven Suite 378,Barbecue Ribs,west-bank
Sonic Drive-In,745 Dana River Suite 513,Pierogi,curacao
Chili's,34229 Earl Squares Apt. 712,Goulash,mozambique
Five Guys,15565 Jacobs Crest,Pierogi,united-kingdom
Five Guys,8897 Castaneda Way Apt. 829,Bento Box,spain
Chipotle,2265 Christopher Crescent Suite 466,Fried Chicken,bermuda
TGI Friday's,38536 Richardson Green,Jambalaya,cayman-islands
Applebee's,312 Kristy Glen,Fried Chicken,bermuda
Tim Hortons,5112 Campbell Mount,Tortilla,albania
Five Guys,15565 Jacobs Crest,Banoffee Pie,malawi
Chili's,87065 Gallegos Landing Apt. 450,Kimchi,nigeria
McDonald's,30025 Cynthia Bypass Apt. 688,Pozole,mauritania
Sonic Drive-In,0140 Smith Heights Suite 124,Clam Chowder,burundi
Dunkin',31396 Lauren Lodge,Ratatouille,syria
Outback Steakhouse,9486 Nancy Keys,Tempura,cayman-islands
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Ratatouille,kuwait
Dunkin',480 Matthew Ville Suite 854,Pierogi,united-kingdom
Wendy's,898 David Squares,Gumbo,mongolia
Chick-fil-A,5113 Webb Springs,Borscht,cyprus
Wendy's,97711 Leblanc Plains Apt. 306,Tamales,south-sudan
Tim Hortons,61988 Tony Isle,Goulash,congo-democratic-republic-of-the
McDonald's,457 Bobby Lights Suite 545,Burger,costa-rica
Starbucks,44769 Alexander Meadow Apt. 850,Gelato,vanuatu
Panera Bread,30025 Cynthia Bypass Apt. 688,Tempura,cayman-islands
Applebee's,54047 Eric Station Apt. 446,Churros,latvia
IHOP,042 Donald Circles Apt. 738,Churros,latvia
Shake Shack,60267 Howard Street Suite 857,Baguette,armenia
Outback Steakhouse,34229 Earl Squares Apt. 712,Harira,canada
Texas Roadhouse,38536 Richardson Green,Borscht,china
KFC,300 Lloyd Causeway,Miso Soup,congo-democratic-republic-of-the
Arby's,970 Smith Wells Suite 905,Arepas,vanuatu
Sonic Drive-In,757 Valerie Shores,Shakshuka,virgin-islands
TGI Friday's,254 Natalie Harbor,Pozole,botswana
Taco Bell,68341 Christy Village,Tamales,south-sudan
TGI Friday's,5333 Patrick Route,Baklava,solomon-islands
Tim Hortons,5112 Campbell Mount,Falafel,panama
Chili's,0768 Hector Trace,Meatballs,malawi
Buffalo Wild Wings,88469 Margaret Shore,Arepas,kenya
Sonic Drive-In,757 Valerie Shores,Miso Soup,ireland
Dunkin',98184 Knight Underpass,Quiche,aruba
Subway,3258 Chase Motorway Apt. 151,Samosa,cameroon
Outback Steakhouse,51773 Holmes Fords Apt. 149,Gnocchi,austria
Pizza Hut,161 Berry Falls Suite 287,Pasta,solomon-islands
Dunkin',6561 James Junctions Suite 693,Samosa,trinidad-and-tobago
Dunkin',31396 Lauren Lodge,Curry,united-arab-emirates
TGI Friday's,3871 Castaneda Pines Apt. 351,Fried Chicken,oman
Dunkin',597 Matthews Dam Apt. 675,Steamed Buns,cambodia
Chili's,207 Beth Alley,Croissant,pakistan
IHOP,345 Poole Prairie Suite 418,Gumbo,faroe-islands
Five Guys,62545 Alexis Underpass Apt. 452,Hummus,solomon-islands
Shake Shack,199 Tamara Forks Suite 830,Cheesecake,china
Five Guys,2225 Gibson Islands Apt. 616,Fish and Chips,saint-lucia
Little Caesars,54047 Eric Station Apt. 446,Carrot Cake,cayman-islands
Buffalo Wild Wings,454 Darlene Port Apt. 418,Banoffee Pie,montenegro
Shake Shack,20131 Bradley Ways,Ratatouille,eswatini
Chili's,849 Barrera Villages,Bao,saint-kitts-and-nevis
Panera Bread,92252 Diane Flat,Coleslaw,uruguay
Red Lobster,3600 Tamara Circle Apt. 910,Gnocchi,new-caledonia
Taco Bell,68341 Christy Village,Satay,bahamas-the
Popeyes,738 Garner Bypass,Goulash,congo-democratic-republic-of-the
Starbucks,198 Dana Junctions,Tabbouleh,antigua-and-barbuda
Ruby Tuesday,9339 Autumn Burg Suite 220,Croissant,bangladesh
Wendy's,9465 Karen Estates Apt. 314,Banoffee Pie,portugal
Applebee's,312 Kristy Glen,Dolma,qatar
Cracker Barrel,6038 Luis Parkways,Quiche,aruba
Panera Bread,726 Michael Via Suite 090,Cheesecake,china
Olive Garden,861 Gibson Square Apt. 265,Arepas,saint-kitts-and-nevis
Burger King,039 Johnson Bypass Apt. 537,Spring Rolls,venezuela
Sonic Drive-In,745 Dana River Suite 513,Borscht,mali
Red Lobster,66057 Bradford Ramp,Gnocchi,new-caledonia
Applebee's,2163 Sarah Inlet Suite 927,Borscht,sweden
Sonic Drive-In,0140 Smith Heights Suite 124,Meatballs,bermuda
Subway,2450 Lozano Spring,Chow Mein,greenland
Cracker Barrel,389 Michael Drive Suite 565,Arepas,kenya
Subway,567 Dean Ways Apt. 733,Lamb Roast,burkina-faso
Applebee's,6038 Luis Parkways,Tempura,seychelles
Taco Bell,68341 Christy Village,Pizza,dominican-republic
Arby's,970 Smith Wells Suite 905,Ratatouille,kuwait
Chick-fil-A,362 Caitlin Corners Apt. 661,Bento Box,burundi
Five Guys,007 Tiffany Haven Suite 378,Banoffee Pie,uruguay
IHOP,18825 Powers Trail,Dolma,sri-lanka
Domino's,597 Matthews Dam Apt. 675,Curry,antigua-and-barbuda
Taco Bell,546 Clark Mall,Risotto,madagascar
Tim Hortons,5113 Webb Springs,Bao,bahamas-the
Little Caesars,8446 Swanson Plaza Suite 553,Croissant,malta
Panera Bread,52323 Mercer Skyway Apt. 291,Laksa,kazakhstan
Tim Hortons,726 Michael Via Suite 090,Pho,belgium
Popeyes,213 Brandon Extensions Suite 945,Pozole,mauritania
Little Caesars,73551 Lopez Loaf,Nasi Goreng,jamaica
Pizza Hut,161 Berry Falls Suite 287,Fish and Chips,new-zealand
Domino's,670 Vanessa Cape,Gumbo,isle-of-man
Little Caesars,54047 Eric Station Apt. 446,Steak,russia
IHOP,916 West Mountain Apt. 223,Coleslaw,ireland
Five Guys,62545 Alexis Underpass Apt. 452,Pozole,botswana
Tim Hortons,5113 Webb Springs,Pasta,northern-mariana-islands
KFC,300 Lloyd Causeway,Omelette,malaysia
Chick-fil-A,553 Anderson Ridge Apt. 584,Croissant,pakistan
Starbucks,000 Carney Circle,Pozole,malaysia
Shake Shack,517 Gonzalez Orchard,Tacos,eritrea
Chick-fil-A,87065 Gallegos Landing Apt. 450,Fish and Chips,kenya
Burger King,8897 Castaneda Way Apt. 829,Salad,namibia
Five Guys,007 Tiffany Haven Suite 378,Vindaloo,united-states
Taco Bell,288 Benjamin Inlet,Miso Soup,iran
Starbucks,3461 Samuel Wells Apt. 182,Udon,nepal
Subway,66337 Julie Cape Apt. 093,Jambalaya,yemen
Cheesecake Factory,20611 Wheeler Pine,Bratwurst,philippines
Dunkin',31396 Lauren Lodge,Fish and Chips,new-zealand
IHOP,345 Poole Prairie Suite 418,Curry,burkina-faso
Panera Bread,34980 Jones Inlet Apt. 469,Omelette,benin
TGI Friday's,254 Natalie Harbor,Sticky Rice,pakistan
Chick-fil-A,5113 Webb Springs,Baguette,armenia
Tim Hortons,25623 Scott Extensions,Lasagna,germany
Olive Garden,861 Gibson Square Apt. 265,Risotto,nicaragua
Starbucks,3461 Samuel Wells Apt. 182,Bratwurst,french-polynesia
KFC,477 Smith Meadow Apt. 029,Lasagna,oman
Wendy's,007 Tiffany Haven Suite 378,Plantains,iran
Olive Garden,322 Medina River,Tamales,samoa
Sonic Drive-In,745 Dana River Suite 513,Kimchi,dominican-republic
Chipotle,254 Natalie Harbor,Nasi Goreng,sudan
Red Lobster,53104 Lambert Field Suite 907,Bratwurst,french-polynesia
Domino's,000 Carney Circle,Pho,antigua-and-barbuda
Dunkin',98184 Knight Underpass,Gumbo,faroe-islands
Subway,66337 Julie Cape Apt. 093,Falafel,bosnia-and-herzegovina
Starbucks,19362 Payne Causeway Suite 534,Fettuccine Alfredo,jordan
Chick-fil-A,553 Anderson Ridge Apt. 584,Dolma,sri-lanka
Red Lobster,278 Price Rest,French Fries,lithuania
Tim Hortons,532 Pugh Wells,Vindaloo,united-states
Arby's,44067 Thompson Crescent,Goulash,antigua-and-barbuda
McDonald's,006 Scott Mountain Suite 766,Ceviche,seychelles
Little Caesars,3461 Samuel Wells Apt. 182,Kimchi,nigeria
Shake Shack,62001 Mallory Extension,Fish and Chips,kenya
Outback Steakhouse,9486 Nancy Keys,Arepas,djibouti
Starbucks,44769 Alexander Meadow Apt. 850,Jollof Rice,jersey
Popeyes,6409 Johnson Plaza Suite 999,Tortilla,ecuador
Burger King,30407 Johnson Road Suite 780,Curry,antigua-and-barbuda
Subway,2163 Sarah Inlet Suite 927,Laksa,rwanda
Wendy's,22777 Rush Key,Jollof Rice,jersey
Chipotle,322 Medina River,Quiche,el-salvador
Cheesecake Factory,20611 Wheeler Pine,Baguette,congo-democratic-republic-of-the
Olive Garden,861 Gibson Square Apt. 265,Spring Rolls,cyprus
Outback Steakhouse,34229 Earl Squares Apt. 712,Cornbread,tajikistan
Starbucks,3461 Samuel Wells Apt. 182,Roti,congo-republic-of-the
Taco Bell,1870 Jennifer Village Suite 635,Tamales,samoa
Cracker Barrel,546 Clark Mall,Croissant,vietnam
Subway,2314 Anderson Coves Suite 102,Samosa,cameroon
KFC,44067 Thompson Crescent,Pizza,dominican-republic
KFC,8481 Foster Drive,Samosa,zimbabwe
TGI Friday's,000 Kane Expressway,Jambalaya,bermuda
Tim Hortons,61988 Tony Isle,Coleslaw,ireland
Wendy's,0976 Conway Route Apt. 897,Cheesecake,kenya
Applebee's,720 Wells Street,Crepes,israel
Popeyes,92252 Diane Flat,Spring Rolls,venezuela
Dunkin',480 Matthew Ville Suite 854,Pho,belgium
Five Guys,920 Ashley Club,Bratwurst,slovenia
Little Caesars,53104 Lambert Field Suite 907,Jollof Rice,new-zealand
Sonic Drive-In,616 Yvette Islands,Ramen,djibouti
Applebee's,312 Kristy Glen,Risotto,equatorial-guinea
Olive Garden,42875 Green Rapid,Tonkatsu,panama
Shake Shack,20131 Bradley Ways,Risotto,malaysia
Five Guys,920 Ashley Club,Omelette,malaysia
Little Caesars,8446 Swanson Plaza Suite 553,Falafel,austria
Starbucks,3461 Samuel Wells Apt. 182,Meatballs,bermuda
Chili's,849 Barrera Villages,Hummus,solomon-islands
Pizza Hut,685 Tom Divide Apt. 622,Miso Soup,iran
Cheesecake Factory,20611 Wheeler Pine,Gnocchi,uzbekistan
Wendy's,677 Carolyn Way,Laksa,russia
Texas Roadhouse,0549 Susan Fields Suite 973,Shakshuka,nicaragua
Chick-fil-A,553 Anderson Ridge Apt. 584,Pad Thai,somalia
Texas Roadhouse,38536 Richardson Green,Kimchi,nigeria
Wendy's,0976 Conway Route Apt. 897,Lamb Roast,turkey-turkiye
Texas Roadhouse,66456 Katherine Place,Risotto,madagascar
Shake Shack,1247 Grace Islands Apt. 246,Cornbread,tajikistan
Subway,85583 Courtney Village Apt. 623,Arepas,vanuatu
Cheesecake Factory,12848 Navarro Turnpike Suite 366,Dolma,qatar
Tim Hortons,150 Tina Shoals Apt. 638,Bento Box,costa-rica
Shake Shack,62001 Mallory Extension,Fried Chicken,new-caledonia
Chipotle,8984 Moore Junctions Apt. 841,Pasta,switzerland
Chipotle,664 Austin Extension,Nasi Goreng,sudan
Starbucks,41292 Conway Cape,Shakshuka,virgin-islands
KFC,8481 Foster Drive,Satay,guyana
Subway,66337 Julie Cape Apt. 093,Nasi Goreng,philippines
Domino's,8830 Wise Forest Apt. 322,Bao,bahamas-the
Dunkin',8840 Grant Valley Suite 846,Chow Mein,greenland
Red Lobster,1870 Jennifer Village Suite 635,Coleslaw,ireland
Shake Shack,2894 Kenneth Roads,Ramen,djibouti
Cheesecake Factory,226 Patel Ridge Suite 602,Arepas,kazakhstan
McDonald's,598 Thomas Springs,Coleslaw,west-bank
Panera Bread,30025 Cynthia Bypass Apt. 688,Sushi,guinea
Chili's,87065 Gallegos Landing Apt. 450,Curry,united-arab-emirates
Red Lobster,278 Price Rest,Crepes,zambia
Subway,85583 Courtney Village Apt. 623,Lamb Roast,turks-and-caicos-islands
Olive Garden,861 Gibson Square Apt. 265,Vindaloo,finland
Arby's,85583 Courtney Village Apt. 623,Laksa,saint-vincent-and-the-grenadines
Chipotle,5073 Scott Groves Suite 909,Pho,montenegro
Little Caesars,664 Austin Extension,Pho,montenegro
KFC,861 Gibson Square Apt. 265,Spring Rolls,venezuela
Red Lobster,1813 Garrett Mill,Jollof Rice,new-zealand
IHOP,471 Holloway Road,Poke Bowl,italy
Sonic Drive-In,616 Yvette Islands,Gumbo,mongolia
Wendy's,898 David Squares,Shawarma,nepal
Subway,2314 Anderson Coves Suite 102,Curry,united-arab-emirates
Tim Hortons,20131 Bradley Ways,Bratwurst,philippines
Texas Roadhouse,9072 Sherman Loop,Falafel,moldova
Cracker Barrel,546 Clark Mall,Arepas,kuwait
Chipotle,74829 Clarke Park,Fried Chicken,new-caledonia
Chipotle,22777 Rush Key,Plantains,india
Burger King,039 Johnson Bypass Apt. 537,Goulash,mozambique
Panera Bread,447 Alyssa Radial Apt. 946,Omelette,cabo-verde
Shake Shack,00983 Pamela Springs,Croissant,pakistan
Little Caesars,849 Barrera Villages,Falafel,austria
Dunkin',677 Carolyn Way,Tonkatsu,serbia
Wendy's,22777 Rush Key,Cornbread,tajikistan
Popeyes,161 Berry Falls Suite 287,Cheesecake,china
Five Guys,207 Beth Alley,Samosa,cameroon
IHOP,042 Donald Circles Apt. 738,Gelato,kazakhstan
Tim Hortons,5112 Campbell Mount,Fried Chicken,new-caledonia
IHOP,471 Holloway Road,Steamed Buns,cambodia
Red Lobster,278 Price Rest,Hummus,curacao
Tim Hortons,532 Pugh Wells,Tamales,costa-rica
Shake Shack,26939 Mathews Throughway Suite 744,Risotto,malaysia
Wendy's,007 Tiffany Haven Suite 378,Meatballs,malawi
